id_collaborateur,nom_collaborateur,prenom_collaborateur,naissance_collaborateur,societe_collaborateur,service_collaborateur,sexe_collaborateur,tel_collaborateur,adresse_collaborateur,cp_collaborateur,ville_collaborateur,mail_collaborateur
1;collaborateur1;collaborateur1;2014-05-01;azerty;Informatique;homme;06.01.23.45.56;"8 cours albert thomas";69000;Lyon;toto.tata@ass.com
2;collaborateur2;collaborateur2;2014-05-14;SNCF;Cheminot;homme;060000000;"5eme avenue";0;Paris;test@gmail.com
3;collaborateur3;collaborateur3;0000-00-00;Carrefour;Carrefour;Homme;04000000;Carrefour;0;Marseille;test@gmail.com
4;collaborateur4;collaborateur4;0000-00-00;EDF;EDF;Homme;060000000;"adresse bidon";0;Paris;test@ymail.com
5;collaborateur5;collaborateur5;0000-00-00;GDF;GDF;Femme;00666666;"adresse Bidon";0;Marseille;test@gmail.com
6;collaborateur6;collaborateur6;0000-00-00;Fnac;Vente;femme;06442026;adresse;0;Paris;test@hotmail.com
7;collaborateur7;collaborateur7;0000-00-00;Orange;Technicien;homme;04000000;"adresse bidon";0;Paris;test@gmail.com
8;collaborateur8;collaborateur8;0000-00-00;Sony;Recherche;homme;04000000;"adresse bidon";0;Paris;Test@orange.com
9;collaborateur9;collaborateur9;0000-00-00;Renault;Mecano;homme;060000000;"Lyon street";0;Lyon;toto@test.com
10;collaborateur10;collaborateur10;0000-00-00;MS;Info;homme;06000000;"Champ Elysée";0;Paris;test@gmail.com
11;"DARK ";Vador;1000-12-22;disney;"star wars";poney;"06 66 66 66 66";"666 Jedi street";87000;Tatooine;vador.dark@lucascompany
